date;Euro;Amerikanske dollar;Britiske pund ;Svenske kroner
2017M05D01;..;..;..;..
2017M05D02;7.437.000;6.813.600;8.799.100;772.400
2017M05D03;7.437.200;6.811.200;8.807.700;772.500
2017M05D04;7.436.500;6.805.600;8.773.100;771.100
2017M05D05;7.436.900;6.784.900;8.779.200;767.800
2017M05D08;7.438.700;6.800.800;8.806.800;770.100
2017M05D09;7.439.500;6.832.800;8.825.000;769.400
2017M05D10;7.440.900;6.837.800;8.859.800;767.200
2017M05D11;7.440.100;6.850.900;8.806.400;771.200
2017M05D15;7.439.500;6.780.400;8.759.800;769.100
2017M05D16;7.439.400;6.727.000;8.663.800;765.300
2017M05D17;7.440.300;6.692.700;8.677.200;762.500
2017M05D18;7.441.400;6.686.500;8.717.400;762.000
2017M05D19;7.441.100;6.656.300;8.661.700;760.100
2017M05D22;7.443.200;6.620.300;8.619.500;760.300
2017M05D23;7.444.000;6.637.500;8.609.500;764.200
2017M05D24;7.441.500;6.648.400;8.618.800;763.900
2017M05D29;7.440.500;6.650.400;8.543.200;765.100
2017M05D30;7.439.600;6.658.600;8.571.700;761.600
2017M05D31;7.439.800;6.630.200;8.515.800;762.600
2017M06D01;7.439.400;6.631.100;8.528.500;761.000
2017M06D02;7.439.200;6.632.100;8.524.500;763.500
2017M06D06;7.438.400;6.607.200;8.527.300;762.900
2017M06D07;7.438.700;6.631.600;8.559.300;759.400
2017M06D08;7.438.300;6.624.200;8.573.900;759.900
2017M06D09;7.437.800;6.655.200;8.487.000;762.000
2017M06D12;7.436.700;6.627.500;8.398.800;760.400
2017M06D13;7.436.500;6.629.700;8.443.400;763.200
2017M06D14;7.436.300;6.637.800;8.454.200;763.100
2017M06D15;7.436.000;6.659.500;8.484.700;764.400
2017M06D16;7.436.100;6.659.000;8.503.000;763.700
2017M06D19;7.437.100;6.640.900;8.497.800;763.200
2017M06D20;7.437.800;6.667.100;8.438.300;762.300
2017M06D21;7.440.300;6.674.700;8.473.200;760.700
2017M06D22;7.438.800;6.660.200;8.437.100;761.500
2017M06D23;7.437.200;6.656.400;8.470.100;761.200
2017M06D26;7.436.400;6.647.400;8.466.800;761.800
2017M06D27;7.435.700;6.593.100;8.414.300;761.200
2017M06D28;7.436.600;6.537.700;8.400.600;760.500
2017M06D29;7.436.700;6.516.000;8.451.800;765.000
2017M06D30;7.436.600;6.516.500;8.457.100;771.400
2017M07D03;7.436.600;6.541.100;8.479.100;771.800
2017M07D04;7.436.700;6.550.400;8.469.600;768.800
2017M07D05;7.436.900;6.564.500;8.476.500;772.700
2017M07D06;7.436.900;6.532.200;8.449.800;772.200
2017M07D07;7.437.100;6.516.900;8.404.600;773.400
2017M07D10;7.436.600;6.530.800;8.408.400;773.200
2017M07D11;7.436.500;6.520.400;8.420.100;771.500
2017M07D12;7.436.900;6.495.700;8.363.100;771.900
2017M07D13;7.436.700;6.513.700;8.430.200;779.300
2017M07D14;7.436.500;6.514.700;8.452.200;780.100
2017M07D17;7.436.500;6.488.000;8.474.200;779.500
2017M07D18;7.437.100;6.436.300;8.377.000;777.500
2017M07D19;7.436.900;6.448.400;8.404.700;777.900
2017M07D20;7.436.700;6.475.100;8.382.400;777.300
2017M07D21;7.436.800;6.387.900;8.299.100;773.100
2017M07D24;7.436.100;6.384.000;8.322.400;775.500
2017M07D25;7.436.100;6.358.900;8.318.300;778.300
2017M07D26;7.436.800;6.386.800;8.330.200;777.100
2017M07D27;7.436.200;6.359.000;8.357.300;776.100
2017M07D28;7.436.400;6.340.200;8.302.500;779.900
2017M07D31;7.436.400;6.341.300;8.316.300;779.300
2017M08D01;7.436.900;6.296.100;8.315.000;778.200
2017M08D02;7.438.400;6.288.300;8.318.000;775.500
2017M08D03;7.438.100;6.271.600;8.235.500;774.100
2017M08D04;7.438.800;6.267.900;8.239.700;774.400
2017M08D07;7.438.400;6.305.300;8.225.100;773.400
2017M08D08;7.438.600;6.296.400;8.203.300;775.000
2017M08D09;7.439.200;6.341.500;8.234.900;773.200
2017M08D10;7.438.100;6.340.000;8.236.800;777.400
2017M08D11;7.437.000;6.321.300;8.204.500;774.000
2017M08D14;7.436.600;6.303.800;8.177.900;777.400
2017M08D15;7.437.100;6.332.700;8.159.600;784.200
2017M08D16;7.436.700;6.350.700;8.172.800;784.300
2017M08D17;7.435.400;6.356.700;8.180.200;781.900
2017M08D18;7.436.300;6.334.200;8.154.900;779.700
2017M08D21;7.437.300;6.323.700;8.144.400;781.500
2017M08D22;7.437.700;6.318.700;8.109.800;779.700
2017M08D23;7.437.300;6.303.300;8.072.400;779.100
